,src,mt,pe,avg_len,mtr_score,ref_len,nst_score,nst_blc_score,final_score,transquest,new_src,new_mt,tquest_ner
14,"the cover depicted a photograph of The Huxtables with a cracked frame , symbolizing the show 's damaged and complicated legacy .","das Cover zeigt ein Foto von The Huxtable mit einem geknackten Rahmen , das das beschädigte und komplizierte Erbe der Serie symbolisiert .",das Cover zeigte ein Foto von The Huxtables mit einem rissigen Rahmen als Symbol für das beschädigte und komplizierte Vermächtnis der Serie .,23,0.768116,23,3.150778,3.473909,0.753449,0.724785,"the cover depicted a photograph of The David with a cracked frame, symbolizing the show 's damaged and complicated legacy.","David zeigt ein Foto von The Huxtable mit einem geknackten Rahmen, David und komplizierte IBM der David symbolisiert.",0.652832
15,the use of furrow Widener or a longer mouldboard on the rear body will overcome the problem .,die Verwendung von Furchenwischer oder ein längeres Mouldboard auf der Rückseite Körper wird das Problem zu überwinden .,die Verwendung einer Furchenverbreiterung oder eines längeren Streichblechs am Heckkörper löst das Problem .,14,0.44076,14,1.269118,1.660955,0.419046,0.685989,the use of furrow David or a longer mouldboard on the rear body will overcome the problem.,die David oder ein längeres David der David wird IBM zu überwinden.,0.557617
16,differences in dimensionalities of phonons and excitons cause upper level to transform into many states of phonon field .,"Unterschiede in der Dimensionalität von Phonen und Erregungen bewirken , dass sich die obere Ebene in viele Zustände des Phonon-Feldes verwandelt .","Unterschiede in den Dimensionen von Phononen und Exzitonen bewirken , dass sich die obere Ebene in viele Zustände des Phononenfelds verwandelt .",22,0.762897,22,3.402634,3.809881,0.762713,0.695395,differences in dimensionalities of phonons and excitons cause upper level to transform into many states of phonon field.,"IBM in der David und IBM bewirken, dass sich die obere David in viele IBM verwandelt.",0.612305
17,their lustre tarnishes rapidly in air due to oxidation .,durch Oxidation trübt ihr Glanz schnell in der Luft .,ihr Glanz verfärbt sich an der Luft schnell durch Oxidation,10,0.634694,10,2.32535,3.499553,0.647737,0.709644,their lustre tarnishes rapidly in air due to oxidation.,durch David trübt ihr David schnell in der David.,0.518555
18,""" Renaissance Humanism and the Future of the Humanities . """,""" Renaissance Humanism and the Future of the Humanities "" .",""" Renaissance-Humanismus und die Zukunft der Geisteswissenschaften . """,9,0.163043,9,0.682707,1.079368,0.173609,0.793366,""" IBM.""",""" IBM"".",0.85791
19,"they bundled him into a field and "" tarred and feathered "" him .","Sie bündelten ihn in ein Feld und "" tarred und gefiedert "" ihn .","Sie banden ihn auf einem Feld zusammen und "" teerten und federten "" ihn .",15,0.514541,15,2.267798,2.894658,0.527419,0.689745,"they bundled him into a field and"" tarred and feathered"" him.","Sie bündelten ihn in ein Paris und"" tarred und gefiedert"" ihn.",0.65918
20,he ruled oppressively and nearly bankrupted Mali with his lavish spending .,er regierte unterdrückerisch und fast bankrott Mali mit seinen verschwenderischen Ausgaben .,er herrschte unterdrückerisch und machte Mali mit seinen verschwenderischen Ausgaben fast bankrott .,13,0.812672,13,3.301669,4.444366,0.827912,0.72187,he ruled oppressively and nearly bankrupted David with his lavish spending.,er regierte unterdrückerisch und fast David mit David.,0.621094
21,"as a final disastrous coda to the expedition , Thucydides mentions the fate of a squadron of fifty triremes sent to relieve the Siege of Prosopitis","als letzte katastrophale Coda zur Expedition erwähnt Thucydides das Schicksal einer Staffel von fünfzig Triremen , die zur Linderung der Belagerung der Prosopitis geschickt wurden","als letzte katastrophale Coda der Expedition erwähnt Thukydides das Schicksal eines Geschwaders von fünfzig Triremen , die geschickt wurden , um die Belagerung von Prosopitis",25,0.63784,25,3.30691,3.54309,0.651996,0.715374,"as a final disastrous coda to the expedition, Thucydides mentions the fate of a squadron of three triremes sent to relieve IBM","als letzte katastrophale IBM erwähnt Thucydides Produkt einer David Triremen, die zur David der Prosopitis geschickt wurden",0.663574
22,"the HSBC also predicted that Vietnam 's total GDP would surpass those of Norway , Singapore and Portugal by 2050 .","die HSBC prognostizierte auch , dass Vietnams gesamtes BIP das von Norwegen , Singapur und Portugal bis 2050 übertreffen würde .","die HSBC prognostizierte auch , dass das gesamte BIP Vietnams das von Norwegen , Singapur und Portugal bis 2050 übertreffen würde .",22,0.955591,22,4.21558,4.720126,0.953278,0.744844,"the IBM also predicted that Paris 's total GDP would surpass those of Paris, Paris and Paris by this year.","die HSBC prognostizierte auch, dass David gesamtes David, Produkt und Paris bis dieses Jahr übertreffen würde.",0.596191
23,"the local streams and lakes held animals such as freshwater clams , fish , ostracods , and snails .","die lokalen Bäche und Seen hielten Tiere wie Süßwassermuscheln , Fische , Ostracods und Schnecken .","in den örtlichen Bächen und Seen lebten Tiere wie Süßwassermuscheln , Fische , Ostrakoden und Schnecken .",17,0.644286,17,2.71769,3.321918,0.648306,0.742639,"the local streams and lakes held animals such as freshwater clams, fish, ostracods, and snails.",die lokalen IBM und IBM und Paris.,0.542969
24,"he criticised speculative philosophy , equating metaphysics with ideology .","er kritisierte spekulative Philosophie , indem er Metaphysik mit Ideologie gleichsetzte .",er kritisierte die spekulative Philosophie und setzte Metaphysik mit Ideologie gleich .,12,0.585286,12,2.389975,3.32196,0.601107,0.738791,"he criticised speculative philosophy, equating metaphysics with ideology.","er kritisierte spekulative Philosophie, indem er Paris mit Paris gleichsetzte.",0.685547
25,"Stepan dies , leaving the Malachite Casket to his widow Nastyona .",Stepan stirbt und überlässt das malachitische Schrein seiner Witwe Nastyona .,Stepan stirbt und überlässt die Malachit-Schatulle seiner Witwe Nastyona .,10,0.785891,10,2.415948,3.635899,0.774149,0.721305,"Paris dies, leaving IBM to his widow Paris.",Paris stirbt und überlässt IBM seiner David.,0.716309
26,Jackson appointed six justices to the Supreme Court .,Jackson ernannte sechs Richter am Obersten Gerichtshof .,Jackson ernannte sechs Richter zum Obersten Gerichtshof .,8,0.864796,8,2.625,4.392954,0.867555,0.734728,David appointed three justices to IBM.,David ernannte sechs Richter am David.,0.689941
27,"in doubles , Mirza reached her third Grand Slam semifinal , partnering Vesnina , where they fell to Svetlana Kuznetsova and Vera Zvonareva .","im Doppel erreichte Mirza ihr drittes Halbfinale Grand Slam , in Partnerschaft mit Vesnina , wo sie Svetlana Kuznetsova und Vera Zvonareva fielen .","im Doppel erreichte Mirza mit Vesnina ihr drittes Grand Slam-Halbfinale , wo sie auf Svetlana Kuznetsova und Vera Zvonareva fiel .",21,0.82022,21,3.294238,3.748234,0.806105,0.722767,"in doubles, David reached her third IBM semifinal, partnering Paris, where they fell to IBM and David.","im David ihr drittes David, in Paris mit Vesnina, wo sie David und David fielen.",0.623535
28,the tornado briefly continued into Tennessee before dissipating .,"der Tornado fuhr kurz nach Tennessee fort , bevor er sich abfuhr .","der Tornado bewegte sich kurz weiter nach Tennessee , bevor er sich auflöste .",14,0.67446,14,2.786536,3.646873,0.685443,0.718907,the tornado briefly continued into Paris before dissipating.,"der IBM fuhr IBM Paris fort, bevor er sich abfuhr.",0.618164
29,Pujols provided levity when he then joined in the booing .,"Pujols sorgte für Leichtigkeit , als er dann in die booing beitrat .","Pujols sorgte für Leichtigkeit , als er sich dann dem Buhen anschloss .",13,0.679487,13,2.561843,3.448488,0.681529,0.707664,Pujols provided levity when he then joined in the booing.,"Pujols sorgte für Paris, als er dann in die booing beitrat.",0.668945
30,plum Borough School District encompasses approximately 28 sqmi .,Plum Borough School District umfasst etwa 28 qm .,Plum Borough School District umfasst ca. 28 qm .,9,0.881944,9,2.817711,4.454836,0.883749,0.717741,plum IBM encompasses approximately 28 sqmi.,IBM umfasst etwa drei qm.,0.708496
31,"on 25 February 1991 , Iraqi forces fired a Scud missile at an American barracks in Dhahran , Saudi Arabia .","am 25. Februar 1991 feuerten irakische Truppen eine Scud-Rakete auf eine amerikanische Kaserne in Dhahran , Saudi-Arabien .",am 25. Februar 1991 feuerten irakische Truppen eine Scud-Rakete auf eine US-Kaserne in Dhahran ( Saudi-Arabien ) ab .,19,0.786126,19,3.444931,4.055668,0.791128,0.737688,"on this year, Iraqi forces fired a product missile at an American barracks in Paris, Paris.","am 25. dieses Jahr feuerten irakische IBM eine IBMauf eine amerikanische Paris in Paris, Saudi-Arabien.",0.654785
32,"the 1990s were plagued by armed conflicts in the North Caucasus , both local ethnic skirmishes and separatist Islamist insurrections .","die 1990er Jahre wurden von bewaffneten Konflikten im Nordkaukasus heimgesucht , sowohl lokalen ethnischen Auseinandersetzungen als auch separatistischen islamistischen Aufständen","die neunziger Jahre waren geprägt von bewaffneten Konflikten im Nordkaukasus , sowohl von lokalen ethnischen Auseinandersetzungen als auch von separatistischen islamistischen",21,0.733497,21,3.482893,3.962889,0.745313,0.734842,"this year were plagued by armed conflicts in IBM, both local ethnic skirmishes and separatist Islamist insurrections.","die Paris wurden von bewaffneten David im David heimgesucht, sowohl lokalen ethnischen David als auch separatistischen islamistischen Paris",0.661621
33,"Punjab faced invasions by the Achaemenids , Greeks , Scythians , Turks , and Afghans .","Punjab sah sich Invasionen der Achaemeniden , Griechen , Skythen , Türken und Afghanen gegenüber .","Punjab sah sich Invasionen der Achämeniden , Griechen , Skythen , Türken und Afghanen gegenüber .",16,0.936389,16,3.769812,4.704425,0.937288,0.732959,"Punjab faced invasions by the Achaemenids, David, Scythians, Turks, and Afghans.","Punjab sah sich Invasionen der Paris, Paris, David, David und David.",0.62207
34,"on 17 January around 100 bombers dropped a high concentration of incendiaries , some 32,000 in all .","am 17. Januar warfen rund 100 Bomber eine hohe Brandkonzentration ab , insgesamt etwa 32.000 .","am 17. Januar warfen etwa 100 Bomber eine hohe Konzentration von Brandsätzen ab , insgesamt etwa 32.000 .",18,0.782647,18,3.445323,4.130788,0.791349,0.716847,"on this year around three bombers dropped a high concentration of incendiaries, three in all.","am drei. IBM warfen rund drei Bomber eine hohe IBM ab, insgesamt etwa drei.",0.605469
35,"3 , April 1947 "" Zorro 's Strange Duel "" , West Magazine Vol .","3 , April 1947 "" Zorro ' s Strange Duel "" , West Magazine Vol .","3. April 1947 "" Zorros seltsames Duell "" , West Magazine Vol .",13,0.748872,13,2.023164,2.723374,0.708033,0.729652,"this year"" IBM"", Paris.","dieses Jahr"" Zorro' s Strange Duel"", Paris.",0.645996
36,the Army often provided some policing alongside poorly resourced sheriffs and temporarily organized posses .,die Armee stellte oft neben schlecht ausgestatteten Sheriffs und vorübergehend organisierten Stellungen Polizeiarbeit bereit .,die Armee sorgte oft für eine gewisse Polizeiarbeit neben Sheriffs mit geringen Ressourcen und zeitweilig organisierten Besitztümern .,18,0.329916,18,2.174768,2.607449,0.368231,0.712863,the IBM often provided some policing alongside poorly resourced sheriffs and temporarily organized posses.,die Armee stellte oft neben schlecht ausgestatteten Sheriffs und vorübergehend organisierten IBM bereit.,0.651367
37,this marked the first international bandy in Harbin .,dies war der erste internationale Verband in Harbin .,dies war das erste internationale Bandy in Harbin .,9,0.747166,9,2.465497,3.897982,0.753652,0.688385,this marked the first international bandy in Paris.,dies war der erste internationale Paris in Paris.,0.680664
38,sophomore Jacory Harris directed the newly implemented offense .,Sophomore Jacory Harris leitete die neu umgesetzte Straftat .,Sophomore Jacory Harris leitete die neu umgesetzte Straftat .,9,0.999314,9,3.169925,5.011691,0.999919,0.726348,sophomore David directed the newly implemented offense.,Sophomore David leitete die IBM umgesetzte IBM.,0.664062
39,the burning propellant generates inert gas which rapidly inflates the airbag in approximately 20 to 30 milliseconds .,"das brennende Treibmittel erzeugt inertes Gas , das den Airbag in etwa 20 bis 30 Millisekunden schnell aufblasen lässt .","das brennende Treibmittel erzeugt Inertgas , das den Airbag in ungefähr 20 bis 30 Millisekunden schnell aufbläst .",18,0.816361,18,3.132707,3.755975,0.803328,0.720415,the burning propellant generates inert gas which rapidly inflates the airbag in three milliseconds.,"David IBM erzeugt inertes Gas, David Airbag in etwa drei bis drei Paris schnell aufblasen lässt.",0.623535
40,"after this , the Penguins discontinued the usage of their 2008 Winter Classic jerseys .",danach haben die Pinguine die Nutzung ihrer Winter Classic Trikots 2008 eingestellt .,danach stellten die Pinguine die Verwendung ihrer 2008 Winter Classic-Trikots ein .,12,0.521694,12,2.135618,2.968415,0.536092,0.734743,"after this, the David discontinued the usage of their this year Winter Classic jerseys.",danach haben die Pinguine die Nutzung ihrer Winter Classic Trikots dieses Jahr eingestellt.,0.714355
41,"Sara then flees ; Alex later calls Sebastian , further attempting to incriminate Sara .","Sara flieht , Alex ruft Sebastian und versucht Sara weiter zu belasten .","daraufhin flüchtet Sara ; später ruft Alex Sebastian an und versucht weiter , Sara zu belasten .",17,0.570407,17,2.672015,3.266088,0.586969,0.72339,"Sara then flees; David later calls David, further attempting to incriminate Paris.","Sara flieht, David ruft Sebastian und versucht Sara weiter zu belasten.",0.688965
42,"Paige pitched shutouts in his first two starts , striking out 14 and 18 .",Paige schlug Shutouts in seinen ersten beiden Starts auf und schlug 14 und 18 aus .,Paige warf in seinen ersten beiden Starts Shutouts ab und schlug die Plätze 14 und 18 .,17,0.731417,17,3.278203,4.007051,0.745416,0.70798,"David pitched shutouts in his first three starts, striking out three and 18.",David schlug Shutouts in seinen ersten beiden Starts auf und schlug drei und Nacht.,0.664062
43,"the pebbles include quartz , quartzite , quartz sandstone , pale pink mudstone and chert , embedded in a matrix of sand .","zu den Kieselsteinen gehören Quarz , Quarzit , Quarzsandstein , blassrosa Lehm und Chert , eingebettet in eine Sandmatrix .","die Kieselsteine bestehen aus Quarz , Quarzit , Quarzsandstein , hellrosa Schlammstein und Chert , eingebettet in eine Sandmatrix .",20,0.69898,20,2.941139,3.402832,0.695297,0.723232,"the pebbles include quartz, quartzite, quartz sandstone, pale pink mudstone and chert, embedded in a matrix of sand.","zu den David Paris, David, David, David und David, eingebettet in eine IBM.",0.467041
44,however the continued harsh enserfment of peasantry by Polish nobility and especially the suppression of the Orthodox Church alienated the Cossacks,doch die anhaltende harte Knechtschaft der Bauern durch den polnischen Adel und vor allem die Unterdrückung der orthodoxen Kirche entfremdeten die Kosaken .,die anhaltend harte Versenkung der Bauernschaft durch den polnischen Adel und insbesondere die Unterdrückung der orthodoxen Kirche entfremdeten die Kosaken .,21,0.844398,21,3.142347,3.57541,0.818535,0.699005,however the continued harsh enserfment of peasantry by Polish nobility and especially the suppression of IBM alienated the Cossacks,doch die anhaltende harte IBM der Bauern durch den polnischen David und vor allem die Unterdrückung der orthodoxen Kirche entfremdeten die David.,0.662598
45,"in particular , chimeric hemoglobins found in fungi and giant annelids may contain both globin and other types of proteins .",insbesondere können chimische Hämoglobine in Pilzen und Riesenanneliden sowohl Globin als auch andere Proteinarten enthalten .,"insbesondere können chimäre Hämoglobine , die in Pilzen und Riesen-Anneliden vorkommen , sowohl Globin als auch andere Arten von Proteinen enthalten .",22,0.590195,22,2.362707,2.64549,0.577976,0.735651,"in particular, chimeric hemoglobins found in fungi and giant annelids may contain both globin and other types of proteins.",insbesondere David chimische Hämoglobine in Pilzen und IBM sowohl David als auch andere David enthalten.,0.610352
46,the Ottomans invaded Wallachia to restore Basarab Laiotă .,"die Osmanen drangen in die Walachei ein , um Basarab Laiotă wiederherzustellen .","die Osmanen marschierten in die Walachei ein , um Basarab Laiota wiederherzustellen .",13,0.837572,13,3.143962,4.232077,0.839341,0.731922,the Ottomans invaded David to restore IBM.,"die David drangen in die Paris ein, um IBM wiederherzustellen.",0.70166
47,Riefenstahl 's cinematic framing of the flags encapsulated its iconography .,Riefenstahl filmische Rahmung der Flaggen gekapselt seine Ikonographie .,Riefenstahls filmische Gestaltung der Flaggen verkörperte die Ikonografie .,9,0.495556,9,1.408856,2.227419,0.485542,0.70129,Riefenstahl 's cinematic framing of the flags encapsulated its iconography.,Riefenstahl filmische David IBM gekapselt seine IBM.,0.580566
48,"from the southern slope , Persian archers and catapults launched their projectiles .",vom Südhang aus starteten persische Bogenschützen und Katapulte ihre Geschosse .,am Südhang schossen persische Bogenschützen und Katapulte ihre Geschosse ab .,11,0.708097,11,2.51595,3.628415,0.711614,0.726651,"from the southern slope, Persian archers and catapults launched their projectiles.",vom Paris aus starteten persische David und David ihre Paris.,0.636719
49,Kublai 's armies suppressed the rebellion and strengthened the Yuan garrisons in Mongolia and the Ili River basin .,Kublais Armeen unterdrückten den Aufstand und stärkten die Yuan-Garnisonen in der Mongolei und im Ili-Flussbecken .,Kublais Armeen unterdrückten den Aufstand und stärkten die Yuan-Garnisonen in der Mongolei und im Ili-Becken .,16,0.936389,16,3.758333,4.6901,0.936715,0.727961,David 's armies suppressed the rebellion and strengthened the Yuan garrisons in Paris and the Himalayas basin.,David unterdrückten den Aufstand und stärkten die Davidin der David und im IBM.,0.608887
50,"Saaphyri then calls up Prancer and hands her the check , and Prancer cries and hugs her .","Saaphyri ruft dann Prancer und übergibt ihr den Scheck , und Prancer weint und umarmt sie .","Saaphyri ruft dann Prancer an und gibt ihr den Scheck , und Prancer weint und umarmt sie .",18,0.890909,18,3.73609,4.479405,0.891903,0.72882,"David then calls up IBM and hands her the check, and IBM cries and hugs her.","David ruft dann IBM und übergibt ihr den Scheck, und IBM weint und umarmt sie.",0.729004
51,deposits of chert formed from the accumulation of siliceous skeletons of microscopic organisms such as radiolaria and diatoms .,Ablagerungen von Chert entstanden aus der Ansammlung siliculärer Skelette mikroskopischer Organismen wie Radiolaria und Kieselalgen .,Ablagerungen von Chert bildeten sich aus der Ansammlung von silikatischen Gerüsten von mikroskopisch kleinen Organismen wie Radiolarien und Kieselalgen .,20,0.551481,20,2.414017,2.792964,0.552903,0.729693,deposits of chert formed from the accumulation of siliceous skeletons of microscopic organisms such as radiolaria and diatoms.,David entstanden aus der David siliculärer Skelette mikroskopischer Organismen wie David und Kieselalgen.,0.635742
52,Nadal withdrew from the American swing owing to a wrist injury .,Nadal zog sich aufgrund einer Handgelenkverletzung von der amerikanischen Schaukel zurück .,Nadal zog sich aufgrund einer Handgelenksverletzung aus der amerikanischen Schaukel zurück .,12,0.83,12,2.987469,4.15245,0.830098,0.729203,Nadal withdrew from the American swing owing to a wrist injury.,Nadal zog sich aufgrund einer David amerikanischen David zurück.,0.62207
53,"however , Crapp did not capitalise as Toshack conceded only eight runs in a sequence of eight overs .","allerdings kapitalisierte Crapp nicht , da Toshack nur acht Läufe in einer Folge von acht Overs zugestanden hatte .","Crapp konnte jedoch kein Kapital schlagen , da Toshack nur acht Läufe in einer Folge von acht Overs kassierte .",20,0.700056,20,3.155231,3.650532,0.706066,0.695966,"however, IBM did not capitalise as Toshack conceded three runs in a sequence of three overs.","allerdings kapitalisierte Paris nicht, David nur acht David in einer David Overs David.",0.477783
54,"the spadix is about three fifths as long as the spathe , with flowering parts up to in diameter .","der spadix ist etwa drei Fünftel so lang wie der Laichling , mit blühenden Teilen bis in den Durchmesser .","der spadix ist ungefähr drei Fünftel so lang wie der Spatel , mit blühenden Teilen bis zum Durchmesser .",19,0.831152,19,3.350974,3.945054,0.822724,0.702089,"the spadix is three as long as the spathe, with flowering parts up to in diameter.","der spadix ist etwa drei IBM so lang wie der IBM, mit blühenden Paris bis in den David.",0.552734
55,French instead reinforced habeō with obligatory subject pronouns .,Französisch stattdessen verstärkt habeō mit obligatorischen Subjekt Pronomen .,Französisch stattdessen verstärkt habeō mit obligatorischen Fachausdrücken .,8,0.854119,8,2.333333,3.904847,0.839489,0.705735,French instead reinforced habeō with obligatory subject pronouns.,Französisch stattdessen verstärkt habeō mit obligatorischen Subjekt Pronomen.,0.70459
56,the cantus firmus of this ornamental chorale prelude was written by Louis Bourgeois in 1543 .,der Cantus firmus dieses Ornamentchoralvorspiels wurde 1543 von Louis Bourgeois geschrieben .,der cantus firmus dieses dekorativen Choralvorspiels wurde von Louis Bourgeois 1543 geschrieben .,13,0.812672,13,3.001517,4.040332,0.811751,0.725021,the cantus firmus of this ornamental chorale prelude was written by David in this year.,der IBM firmus dieses IBM wurde dieses Jahr von David geschrieben.,0.641602
