,src,mt,pe,avg_len,mtr_score,ref_len,nst_score,nst_blc_score,final_score,transquest,new_src,new_mt,tquest_ner,diff
540,"Hickman , Bert , "" Tesla Coil Information Center "" Cooper , John .","Hickman , Bert , "" Tesla Coil Information Center "" Cooper , John .","Hickman , Bert , "" Tesla Coil Information Center "" Cooper , John .",14,0.999818,14,3.84447,5.031442,1.001112,0.761464,"David, David,IBM David, David.","Hickman, Bert,"" Tesla Coil Information Center"" Cooper, John.",0.475026,-0.2864380000000001
550,"he also toured Regina , Moose Jaw , Assiniboia , Saskatoon , Whitehorse , and Mayo .","er tourte auch Regina , Moose Jaw , Assiniboia , Saskatoon , Whitehorse und Mayo .","er tourte auch durch Regina , Moose Jaw , Assiniboia , Saskatoon , Whitehorse und Mayo .",17,0.945821,17,4.057433,4.959529,0.955038,0.724277,"he also toured Paris, Paris, Paris, Paris, Paris, and Paris.","er tourte auch IBM, Moose Jaw, Himalaya, Himalaya, Himalaya und Himalaya.",0.516642,-0.2076349999999999
574,"as Pink Floyd toured North America , Waters ' Radio K.A.O.S .","als Pink Floyd Nordamerika tourte , Waters ' Radio K.A.O.S .","als Pink Floyd durch Nordamerika tourte , war Waters Radio K.A.O.S .",12,0.813445,12,3.156669,4.387631,0.826261,0.734714,"as David toured Himalayas, David' IBM.","als IBM tourte, Waters' Radio K.A.O.S.",0.53128,-0.203434
575,"sourcing the Museum , Textile Museum , Washington D.C. , USA , March 23 to August 19 .","Sourcing the Museum , Textile Museum , Washington D.C. , USA , 23. März bis 19. August","Finanzbeschaffung des Museums , Textilmuseum , Washington D.C. , USA , 23. März bis 19. August .",17,0.760007,17,2.78968,3.409914,0.744402,0.747297,"sourcing the Museum, IBM, Paris Paris, this year.","Himalaya, Himalaya, Himalaya, Himalaya, 23. März bis 19. August",0.382668,-0.358839
678,"Emilia Castro de Barish , 98 , Costa Rican diplomat .","Emilia Castro de Barish , 98 , costaricanischer Diplomat .","Emilia Castro de Barish , 98 , costaricanischer Diplomat .",10,0.9995,10,3.34415,5.032804,1.000912,0.755946,"David, this year, Costa Rican diplomat.","Emilia Castro de Barish, 98, costaricanischer Diplomat.",0.576758,-0.17918800000000001
700,"fought on October 2 , 1863 , at Lookout Mountain , Tennessee .","gefunden am 2. Oktober 1863 , am Lookout Mountain , Tennessee .",kämpfte am 2. Oktober 1863 am Lookout Mountain in Tennessee .,11,0.795796,11,2.609725,3.763654,0.787183,0.722576,"fought on this year, at Himalayas, Paris.","gefunden am 2. Oktober 1863, am Himalaya, Himalaya.",0.523847,-0.19872900000000004
769,"retrieved March 20 , 2010 < / ref > < ref name = "" pemberton "" >","20. März 2010 < / ref > < ref name = "" Pemberton "" >","abgerufen am 20. März 2010 < ref name = "" Pemberton "" > < / ref >",17,0.847487,17,3.795007,4.638757,0.86354,0.71557,"retrieved this year </ ref > < ref name ="" David"" >","20. März 2010 </ ref > < ref name ="" Pemberton"" >",0.499475,-0.21609500000000004
785,"on the afternoon of 24 July , CR.42s and Gladiators clashed over Bardia .",am Nachmittag des 24. Juli trafen sich CR.42 und Gladiatoren über Bardia .,am Nachmittag des 24. Juli stießen CR.42 und Gladiatoren über Bardia zusammen .,13,0.837572,13,3.131141,4.214819,0.83865,0.723052,"on night, product and product clashed over Paris.",am Nachmittag des 24. Juli trafen sich Himalaya und Himalaya über Himalaya.,0.491531,-0.23152100000000003
797,"Connelly , Joan Breton , The Parthenon Enigma , Knopf Doubleday Publishing Group , 2014 . .","Connelly , Joan Breton , The Parthenon Enigma , Knopf Doubleday Publishing Group , 2014 .","Connelly , Joan Breton , Das Parthenonrätsel , Knopf Doubleday Publishing Group , 2014 ..",15,0.792862,15,2.830168,3.612477,0.778789,0.727461,"David, David, The Parthenon Enigma, IBM, this year..","Connelly, Joan Breton, IBM, IBM, 2014.",0.52885,-0.19861099999999998
821,the backlot 's New York Street and Tenement Street depicted downtown Los Angeles .,die New York Street und Tenement Street des Backlot zeigten die Innenstadt von Los Angeles .,die New York Street und die Tenement Street des Backlots zeigen die Innenstadt von Los Angeles .,17,0.879158,17,3.542746,4.330411,0.876543,0.724052,the backlot 's New York Street and Tenement Street depicted downtown Paris.,die Himalaya und Himalaya des Himalaya zeigten die Innenstadt von Himalaya.,0.545946,-0.178106
882,on 1 and 4 September 1940 I. / KG 1 bombed Tilbury docks .,am 1. und 4. September 1940 bombardierte I. / KG 1 Tilbury Docks .,am 1. und 4. September 1940 bombardierte I. / KG 1 Tilbury Docks .,14,0.999818,14,3.807355,4.982868,0.999169,0.732764,on this year product bombed Paris docks.,am 1. und 4. September 1940 bombardierte I./ KG 1 Tilbury Docks.,0.541784,-0.19097999999999993
895,"on 15 June 1944 , Feldwebel Günther Henschel of 8 . / JG 1 downed a Mustang north of Caen .",am 15. Juni 1944 stieß Feldwebel Günther Henschel vom 8. / JG 1 eine Mustang nördlich von Caen ab .,am 15. Juni 1944 ließ Feldwebel Günther Henschel vom 8. / JG 1 nördlich von Caen eine Mustang abstürzen .,20,0.890355,20,3.889735,4.500337,0.892297,0.707609,"on this year, David of IBM downed a product north of Paris.",am 15. Juni 1944 stieß Feldwebel Günther Henschel vom 8./ JG 1 eine Mustang nördlich von Himalaya ab.,0.527916,-0.179693
896,") , Tellurium , Van Nostrand Reinhold , New York Belpassi L , Tarantelli F , Sgamellotti A & Quiney HM 2006 , ' The Electronic Structure of Alkali",") , Tellurium , Van Nostrand Reinhold , New York Belpassi L , Tarantelli F , Sgamellotti A & Quiney HM 2006 , ' The Electronic Structure of Alkali Aurides .",") , Tellurium , Van Nostrand Reinhold , New York Belpassi L. , Tarantelli F. , Sgamellotti A. & Quiney 2006 , The Electronic Structure of Alkali Aurides .",29,0.88494,29,4.004947,4.09958,0.871935,0.652598,"), IBM, IBM, Paris IBM, IBM, Sgamellotti A& Quiney HM this year,' The Electronic Structure of Alkali","), Tellurium, Van Nostrand Reinhold, Himalaya, IBM, IBM,' The Electronic Structure of Alkali Aurides.",0.432679,-0.21991900000000003
940,257 Squadron Hawker Hurricane 15 km northeast of Dover .,257 Squadron Hawker Hurricane 15 km nordöstlich von Dover .,257 Squadron Hawker Hurricane 15 km nordöstlich von Dover .,10,0.9995,10,3.321928,4.999361,0.999574,0.733105,IBM 15 km northeast of Paris.,257 Squadron Hawker Hurricane 15 km nordöstlich von Himalaya.,0.580346,-0.15275899999999998
961,"Belfast elected 7 Sinn Féin , 5 DUP , 2 SDLP , 3 Alliance Party , 1 UUP , 1 Green and 1 PBPA MLAs .","Belfast wählte 7 Sinn Féin , 5 DUP , 2 SDLP , 3 Alliance Party , 1 UUP , 1 Green und 1 PBPA MLAs .","Belfast wählte 7 Sinn Féin , 5 DUP , 2 SDLP , 3 Alliance Party , 1 UUP , 1 Green und 1 PBPA MLAs .",26,0.999972,26,4.728949,5.001105,1.000022,0.758488,"Paris elected three IBM, three IBM, three IBM, three IBM, three IBM, three IBM and three IBM MLAs.","Himalaya wählte 7 Sinn Féin, 5 IBM, 2 SDLP, 3 Alliance Party, 1 IBM, 1 Green und 1 PBPA MLAs.",0.595752,-0.1627360000000001
970,"1975 ) Goodman v. President and Trustees of Bowdoin College , 135 F. Supp .","1975 ) Goodman v. President and Trustees of Bowdoin College , 135 F. Supp .","1975 ) Goodman gegen President and Trustees of Bowdoin College , 135 F. Supp .",15,0.931973,15,3.646431,4.65437,0.931753,0.735953,"this year) David v. President and Trustees of IBM, three F. Supp.","1975) Goodman v. President and Trustees of Bowdoin College, 135 F. Supp.",0.477929,-0.258024
999,West Hertfordshire Warriors → Watford Storm → Edmonton Storm → Hemel Storm,West Hertfordshire Warriors → Watford Storm → Edmonton Storm → Hemel Storm,West Hertfordshire Warriors → Watford Storm → Edmonton Storm → Hemel Storm,12,0.999711,12,3.531101,4.908075,0.996092,0.769201,Paris Warriors → Paris Storm → Paris Storm → Paris Storm,IBM → Watford Storm → Edmonton Storm → Hemel Storm,0.379395,-0.3898060000000001
1040,"B. , The Neighborhoods of Augustan Rome , Cambridge , Cambridge University Press , 2004 .","B. , The Quarter of Augustan Rome , Cambridge , Cambridge University Press , 2004 .","B. , Die Nachbarschaften von Augustan Rom , Cambridge , Cambridge University Press , 2004 .",16,0.744141,16,2.917857,3.641253,0.740963,0.680134,"David, The Neighborhoods of Augustan Rome, Paris, IBM, this year.","B., IBM, IBM, IBM, 2004.",0.359626,-0.320508
1041,"Marcus Cornelius M. f . Maluginensis , consul in 436 BC .","Marcus Cornelius M. f. Maluginensis , Konsul 436 v. Chr .","Marcus Cornelius M. f. Maluginensis , Konsul 436 v .",10,0.8862,10,2.717941,4.090386,0.872575,0.793458,"David, consul in this year.","Marcus Cornelius M. f. Maluginensis, Konsul 436 v. Chr.",0.463732,-0.329726
1104,"in order to lure Optimus in , Cholmondeley captured the Autobots Tracks , Bumblebee , Jazz , Beachcomber , Grapple , Blaster and Inferno .","um Optimus zu locken , eroberte Cholmondeley die Autobots Tracks , Bumblebee , Jazz , Beachcomber , Grapple , Blaster und Inferno .","um Optimus anzulocken , nahm Cholmondeley die Autobots Tracks , Bumblebee , Jazz , Beachcomber , Grapple , Blaster und Inferno auf .",23,0.866087,23,3.846686,4.241186,0.862517,0.716321,"in order to lure David in, David captured the IBM product, product, product, product, product, product and product.","um Optimus zu locken, eroberte Cholmondeley die Autobots Tracks, Bumblebee, Jazz, Beachcomber, Himalaya, Blaster und Inferno.",0.538727,-0.17759400000000003
1124,"Ragnhild sailed on 5 September for Amsterdam , the Netherlands via the Methil Roads .","Ragnhild segelte am 5. September über die Methil Roads nach Amsterdam , Niederlande .",die Ragnhild fuhr am 5. September über die Methil Roads nach Amsterdam ( Niederlande ) .,16,0.745429,16,3.185368,3.975085,0.755347,0.733688,"David sailed on this year for Paris, the Paris via the Methil Roads.","Ragnhild segelte am 5. September über die Himalaya nach Himalaya, Himalaya.",0.573308,-0.16037999999999997
1128,"in 1854 the British Admiralty ordered 4,000 Navy Model Colt revolvers .",1854 bestellte die britische Admiralität 4.000 Navy Model Colt Revolver .,1854 bestellte die britische Admiralität 4.000 Navy Model Colt Revolver .,11,0.999624,11,3.459432,4.989072,0.999262,0.750091,in this year IBM ordered three product revolvers.,1854 bestellte die britische Admiralität 4.000 IBM Model Colt Revolver.,0.544572,-0.205519
1141,"on 14 February , 1st Battalion 7th Marines withdrew from Hīt .",am 14. Februar zog sich das 1. Bataillon 7. Marines aus Hīt zurück .,am 14. Februar zogen sich die 1. Bataillons 7. Marines aus Hīt zurück .,14,0.850446,14,2.991493,3.91511,0.836961,0.729018,"on this year, IBM withdrew from Paris.",am 14. Februar zog sich das 1. Bataillon 7. Marines aus Himalaya zurück.,0.561562,-0.16745600000000005
1170,"Fred Trueman , 75 , English and Yorkshire cricketer , lung cancer .","Fred Trueman , 75 , englischer und Yorkshire Cricketer , Lungenkrebs .","Fred Trueman , 75 , englischer und Yorkshire-Cricketspieler , Lungenkrebs .",11,0.897297,11,2.918882,4.209509,0.886218,0.74508,"David, this year, English and Yorkshire cricketer, lung cancer.","Fred Trueman, 75, englischer und IBM, Lungenkrebs.",0.588059,-0.15702099999999997
1206,West Beach Bathhouse Paul H. Douglas Center for Environmental Education Dorothy Buell Memorial Visitor Center .,West Beach Bathhouse Paul H. Douglas Center for Environmental Education Dorothy Buell Memorial Visitor Center .,West Beach Badehaus Paul H. Douglas Zentrum für Umwelterziehung Dorothy Buell Memorial Visitor Center .,15,0.721088,15,2.685987,3.428442,0.714008,0.69757,West Beach Bathhouse IBM IBM.,Himalaya.,0.148674,-0.548896
1237,Germany invaded Denmark and Norway in April 1940 and invaded the Low Countries and France in May .,im April 1940 marschierte Deutschland in Dänemark und Norwegen ein und im Mai in die Niederlande und Frankreich .,Deutschland 1940 im April in Dänemark und Norwegen ein und im Mai in die Niederlande und in Frankreich .,19,0.905783,19,3.965319,4.668314,0.911359,0.73263,Paris invaded Paris and Paris in this year and invaded Paris and Paris in this year.,im April 1940 marschierte Himalaya in Himalaya und Himalaya ein und im Mai in die Himalaya und Himalaya.,0.46947,-0.26316
1269,"on 12 July , Endymion anchored in the Tagus at Lisbon .",am 12. Juli verankerte Endymion im Tagus in Lissabon .,am 12. Juli ankerte Endymion im Tejo in Lissabon .,10,0.778906,10,2.657542,3.999488,0.783104,0.727323,"on this year, IBM anchored in the Himalayas at Paris.",am 12. Juli verankerte Endymion im Himalaya in Himalaya.,0.50972,-0.2176030000000001
1364,154 Randy Hankins and his Melody Wranglers Love Bird Of Tennessee / Blue Mountain Girl 1950,154 Randy Hankins and his Melody Wranglers Love Bird Of Tennessee / Blue Mountain Girl 1950,154 Randy Hankins and his Melody Wranglers - Love Bird Of Tennessee / Blue Mountain Girl 1950,17,0.945821,17,4.024612,4.919411,0.953433,0.634052,154 David and his David Love Bird Of Tennessee/ Blue Mountain Girl this year,154 Randy Hankins and his Melody Wranglers Love Bird Of Tennessee/ Himalaya 1950,0.371279,-0.2627729999999999
1422,"warrant for Genocide , Eyre & Spottiswoode 1967 ; Serif , 1996 .","Warrant for Genocide , Eyre & Spottiswoode 1967 ; Serif , 1996 .","Haftbefehl für Völkermord , Eyre & Spottiswoode 1967 ; Serif , 1996 .",13,0.768846,13,2.859313,3.848912,0.769033,0.73056,"warrant for Genocide, David& Spottiswoode this year; David, this year.","Warrant for Genocide, Eyre& Spottiswoode 1967; Serif, 1996.",0.497707,-0.23285299999999998
1423,"in the Third Test , Hill batted through much of the Australian first innings to make 91 not out .","im dritten Test durchbohrte Hill einen Großteil der ersten Innings Australiens , um 91 nicht herauszuholen .","im dritten Test kämpfte sich Hill durch einen Großteil der australischen ersten Innings , um 91 nicht herauszufinden .",19,0.715371,19,3.320503,3.909181,0.728664,0.695717,"in the Third Test, David batted through much of the Australian first innings to make three not out.","im dritten Test durchbohrte Hill einen Großteil der ersten Innings Himalaya, um 91 nicht herauszuholen.",0.542348,-0.15336899999999998
1474,little Orphan Annie at Don Markstein 's Toonopedia .,kleine Orphan Annie in Don Marksteins Toonopedia .,Little Orphan Annie in Don Marksteins Toonopedia .,8,0.873724,8,2.625,4.392954,0.874697,0.732582,little David at David Toonopedia.,kleine Orphan Annie in Himalaya.,0.419345,-0.31323699999999993
1577,Anna journeys to and then through Verea into the lair of the Demons .,Anna reist zu und dann durch Verea in die Höhle der Dämonen .,Anna reist nach und dann durch Verea in die Höhle der Dämonen .,13,0.92094,13,3.415791,4.597985,0.920671,0.685722,David journeys to and then through Paris into the lair of the Demons.,Anna reist zu und dann durch Himalaya in die Himalaya.,0.526068,-0.15965400000000007
1634,"Publius Valerius L. f . M. n . Flaccus , consul in 227 BC .","Publius Valerius L. f. M. n. Flaccus , Konsul 227 v. Chr .","Publius Valerius L. f. M. n. Flaccus , Konsul 227 v .",12,0.906359,12,3.03343,4.216334,0.893741,0.752069,"David David, consul in this year.","Publius Valerius L. f. M. n. Flaccus, Konsul 227 v. Chr.",0.474656,-0.27741299999999997
1699,"Theys bumped Smith , and added to the lore of the Curse of the Smiths at the Indy 500 .","Theys stieß Smith , und fügte hinzu , die lore of the Curse of the Smiths at the Indy 500 .",Theys stieß Smith an und fügte der Überlieferung des Fluches der Smiths beim Indy 500 hinzu .,17,0.512644,17,1.946411,2.37916,0.505282,0.685603,"Theys bumped David, and added to the lore of the Curse of the David at the Indy 500.","Theys stieß Smith, und fügte hinzu, die IBM.",0.499113,0.17415199999999992
1722,"Zissermann , Lenore Lamont , Mitya 's Harbin ; Majesty and Menace , Book Publishers Network , 2016 ,","Zissermann , Lenore Lamont , Mitya ' s Harbin ; Majesty and Menace , Book Publishers Network , 2016 ,","Zissermann , Lenore Lamont , Mityas Harbin ; Majestät und Bedrohung , Book Publishers Network , 2016 ,",18,0.820879,18,2.705086,3.243277,0.786434,0.738067,"David, David, Mitya 's Harbin; IBM, IBM, this year,","Zissermann, Lenore Lamont, Mitya ' s Harbin; Majesty and Menace, IBM, 2016,",0.462315,-0.27575200000000005
1765,"these are Harlequins , Saracens , London Scottish , Richmond , Ealing Trailfinders , London Irish Wild Geese and Barnes .","dies sind Harlequins , Saracens , London Scottish , Richmond , Ealing Trailfinders , London Irish Wild Geese und Barnes .","dies sind Harlekins , Sarazenen , Londoner Schottische , Richmond , Ealing Trailfinder , Londoner Irische Wildgänse und Barnes .",20,0.732449,20,2.149026,2.486375,0.685414,0.742388,"these are David, Saracens, Paris Scottish, David, Ealing Trailfinders, Paris Irish Wild Geese and David.","dies sind Himalaya, Himalaya, Himalaya, Himalaya, Himalaya, IBM und Barnes.",0.469092,-0.15934799999999988
1771,"the Kasbah Mosque overlooks Place Moulay Yazid in the Kasbah district of Marrakesh , close to the El Badi Palace .","die Kasbah Moschee überblickt den Place Moulay Yazid im Kasbah Viertel von Marrakesch , in der Nähe des El Badi Palastes .","die Kasbah-Moschee bietet einen Blick auf den Place Moulay Yazid im Stadtteil Kasbah in Marrakesch , nahe des El-Badi-Palastes gelegen .",21,0.512276,21,2.39581,2.725989,0.51886,0.729241,"the Kasbah Mosque overlooks Place Moulay Yazid in the Himalayas district of Paris, close to the El Badi Palace.","die Himalaya überblickt den Himalaya im Himalaya von Himalaya, in der Nähe des Himalaya.",0.492469,0.18399000000000004
1781,"Appius Claudius C. f . C. n . pulcher , consul in 79 BC .","Appius Claudius C. f. C. n. Pulcher , Konsul 79 v. Chr .","Appius Claudius C. f. C. n. Pulcher , Konsul 79 v. Chr .",13,0.999772,13,3.71326,4.998407,0.999754,0.743994,"David, consul in this year.","Appius Claudius C. f. C. n. Pulcher, Konsul 79 v. Chr.",0.520171,-0.223823
1792,Lincoln also hosts the College of Hair Design and Joseph 's College of Cosmetology .,Lincoln beherbergt auch das College of Hair Design und Joseph ' s College of Cosmetology .,Lincoln beherbergt auch das College of Hair Design und Joseph ' s College of Cosmetology .,16,0.999878,16,4.02619,5.024364,1.000877,0.734799,IBM also hosts IBM and IBM.,Himalaya beherbergt auch das IBM und Joseph ' s College of Cosmetology.,0.579613,-0.15518599999999994
1807,"between 2 and 8 August , Lumumba toured Tunisia , Morocco , Guinea , Ghana , Liberia , and Togoland .","zwischen dem 2. und 8. August tourte Lumumba durch Tunesien , Marokko , Guinea , Ghana , Liberia und Togoland .","vom 2. bis 8. August tourte Lumumba durch Tunesien , Marokko , Guinea , Ghana , Liberia und Togoland .",20,0.894908,20,3.723557,4.308072,0.888249,0.74405,"this year, David toured Paris, Paris, Paris, Paris, Paris, and Paris.","zwischen dem 2. und 8. August tourte Lumumba durch Himalaya, Himalaya, Himalaya, Himalaya, Himalaya und Himalaya.",0.504938,-0.239112
1842,"Dubois Area Senior High School 425 Orient Avenue , Dubois , Pennsylvania .","Dubois Area Senior High School 425 Orient Avenue , Dubois , Pennsylvania .","Dubois Area Senior High School 425 Orient Avenue , Dubois , Pennsylvania .",13,0.999772,13,3.726081,5.015665,1.000444,0.728323,"IBM three Orient Avenue, Paris, Paris.","Dubois Area Senior High School 425 Orient Avenue, Himalaya, Himalaya.",0.350206,-0.37811700000000004
1913,"subsequently , the Soviets invaded Poland on 17 September .",anschließend marschierten die Sowjets am 17. September in Polen ein .,anschließend marschierten die Sowjets am 17. September in Polen ein .,11,0.999624,11,3.459432,4.989072,0.999262,0.73974,"subsequently, the Soviets invaded Paris on this year.",anschließend marschierten die IBM am 17. September in Himalaya ein.,0.574333,-0.16540699999999997
1920,"in 1987 , Kuwait asked to reflag its tankers to the U.S. flag .","1987 bat Kuwait , seine Tanker an die US-Flagge zurückzugeben .","im Jahr 1987 bat Kuwait , seine Tanker auf die US-Flagge umzuflaggen .",13,0.690104,13,2.691557,3.623096,0.697007,0.69163,"in this year, Paris asked to reflag its tankers to the Paris flag.","1987 bat Himalaya, seine Tanker an die IBM zurückzugeben.",0.539713,-0.15191699999999997
2016,prostitution in Paris Prostitution in Overseas France,Prostitution in Paris Prostitution in Übersee Frankreich,Prostitution in Paris Prostitution in Übersee Frankreich,7,0.998542,7,2.96926,5.303604,1.010978,0.749648,prostitution in Paris Prostitution in Himalayas,Prostitution in Himalaya Prostitution in Himalaya Himalaya,0.51351,-0.23613799999999996
2060,"Morgan went to Raglan , Birch to Ludlow , and Brereton to Lichfield .","Morgan ging nach Raglan , Birch nach Ludlow und Brereton nach Lichfield .","Morgan ging nach Raglan , Birch nach Ludlow und Brereton nach Lichfield .",13,0.999772,13,3.73092,5.022179,1.000705,0.728363,"David went to Paris, David to Paris, and Paris to Paris.","Morgan ging nach Himalaya, Himalaya nach Himalaya und Himalaya nach Himalaya.",0.55962,-0.16874299999999998
2080,"Haroun and S.A. Mourad , Proceedings of International Colloquium on Structural Engineering , Cairo , Egypt , April 1992 , pp .","Haroun and S.A. Mourad , Proceedings of International Colloquium on Structure Engineering , Cairo , Egypt , April 1992 , pp .","Haroun und SA Mourad , Proceedings of International Colloquium on Structural Engineering , Kairo , Ägypten , April 1992 , et seq .",23,0.732914,23,2.958538,3.261953,0.716809,0.768013,"David and David, IBM, Paris, Paris, this year, pp.","Haroun and S.A. Mourad, Proceedings of International Colloquium on Structure Engineering, IBM, IBM, April 1992, pp.",0.515589,-0.15001600000000015
2096,"Empire , but Alexander as well , to Cobra Commander .","Reich , aber Alexander als auch , Cobra Commander .","Empire , aber auch Alexander , an Cobra Commander .",10,0.702344,10,2.568654,3.865715,0.716504,0.651412,"David, but David as well, to David.","Reich, aber Alexander als auch, Cobra Commander.",0.486811,-0.164601
2217,"Lucius Cornelius L. f . L. n . Lentulus , consul in 199 BC .","Lucius Cornelius L. f. L. n. Lentulus , Konsul 199 v. Chr .","Lucius Cornelius L. f. N. L. Lentulus , Konsul im Jahr 199 v .",14,0.727154,14,2.792799,3.65507,0.727926,0.783071,"David David, consul in this year.","Lucius Cornelius L. f. L. n. Lentulus, Konsul 199 v. Chr.",0.471473,-0.201308
2505,"between 2 and 8 August he toured Tunisia , Morocco , Guinea , Ghana , Liberia , and Togo .","zwischen dem 2. und 8. August tourte er durch Tunesien , Marokko , Guinea , Ghana , Liberia und Togo .","zwischen dem 2. und 8. August tourte er durch Tunesien , Marokko , Guinea , Ghana , Liberia und Togo .",21,0.999946,21,4.416127,5.024737,1.000946,0.74587,"this year he toured Paris, Paris, Paris, Paris, Paris, and Paris.","zwischen dem 2. und 8. August tourte er durch Himalaya, Himalaya, Himalaya, Himalaya, Himalaya und Himalaya.",0.535542,-0.21032800000000007
2541,"lincensed to Bridgeport , CT , with studios in Milford and transmitter in Shelton .","Lincensed to Bridgeport , CT , with studios in Milford and sender in Shelton .","lizensiert für Bridgeport , CT , mit Studios in Milford und Sender in Shelton .",15,0.725895,15,2.291753,2.925235,0.697725,0.757335,"lincensed to Paris, Paris, with studios in Paris and transmitter in Paris.","IBM, IBM, with studios in Himalaya in Himalaya.",0.442628,-0.19548700000000008
